stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0.5,2.5,21.662203600004432,,21.647866200000863,21.662203600004432,22.162648700003047,22.162648700003047,22.162648700003047,22.430808599994634,left,-2.5,0,0,0.25640610000118613,,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
26,0.5,3.0,22.445594399992842,,22.4309787999955,22.445594399992842,22.945294899996952,22.945294899996952,22.945294899996952,23.36503119999543,right,3.0,1,1,0.41626569999789353,23.246069400003762,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
27,0.5,3.0,23.378790499991737,,23.3652357999963,23.378790499991737,23.879058499995153,23.879058499995153,23.879058499995153,24.2141100000008,right,3.0,1,1,0.3250843999994686,24.17880619999778,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
28,0.5,3.0,24.229366899991874,,24.214290999996592,24.229366899991874,24.72848140000133,24.72848140000133,24.72848140000133,25.080569700003252,right,3.0,1,1,0.3418671999970684,25.02849640000204,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
29,0.5,2.5,25.094593799993163,,25.08072969999921,25.094593799993163,25.595306000002893,25.595306000002893,25.595306000002893,25.915213100000983,right,2.5,1,1,0.30633300000044983,25.89596179999353,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
30,0.5,2.5,25.92847030000121,,25.91535959999601,25.92847030000121,26.42863650000072,26.42863650000072,26.42863650000072,26.830709499990917,left,-2.5,1,1,0.3897924999910174,26.728930900004343,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
31,0.5,2.5,26.8458157999994,,26.83085129999381,26.8458157999994,27.34593880000466,27.34593880000466,27.34593880000466,27.697768700003508,left,-2.5,1,1,0.34354100000928156,27.645731500000693,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
32,0.5,2.0,27.71260230000189,,27.697938999990583,27.71260230000189,28.212375799994334,28.212375799994334,28.212375799994334,28.61334209999768,right,2.0,1,1,0.3932158999959938,28.51207290000457,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
33,0.5,2.0,28.628781899999012,,28.613499799990677,28.628781899999012,29.111862999998266,29.111862999998266,29.128931700004614,29.464126799997757,right,2.0,1,1,0.336844800011022,29.412270300003,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
34,0.5,2.0,29.478632300000754,,29.464263100002427,29.478632300000754,29.978848600003403,29.978848600003403,29.978848600003403,30.28182509999897,right,2.0,1,1,0.29558150000229944,30.27940079999098,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
35,0.5,1.5,30.295309799999814,,30.281975199992303,30.295309799999814,30.796043700000155,30.796043700000155,30.796043700000155,31.09741089999443,right,1.5,1,1,0.290731400004006,31.095291399993584,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
36,0.5,1.5,31.11196039999777,,31.09758299999521,31.11196039999777,31.612641799991252,31.612641799991252,31.612641799991252,31.914550699992105,right,1.5,1,1,0.2840672000020277,31.912508599998546,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
37,0.5,1.5,31.928950100002112,,31.914699799992377,31.928950100002112,32.42883859999711,32.42883859999711,32.42883859999711,32.71535060000315,right,1.5,1,1,0.2680232000129763,32.72913739999058,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
38,0.5,1.0,32.72913739999058,,32.71549469999445,32.72913739999058,33.22898040000291,33.22898040000291,33.22898040000291,33.53106619999744,right,1.0,1,1,0.2853395999991335,33.52932149999833,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
39,0.5,1.0,33.54534149999381,,33.531215599999996,33.54534149999381,34.045692300001974,34.045692300001974,34.045692300001974,34.33074689999921,right,1.0,1,1,0.2686154999973951,34.345818499990855,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
40,0.5,1.0,34.345818499990855,,34.33089990000008,34.345818499990855,34.84560020000208,34.84560020000208,34.84560020000208,35.180838300002506,left,-1.0,0,0,0.32707910001045093,35.14588909999293,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
41,0.5,1.5,35.19561349999276,,35.1810484000016,35.19561349999276,35.69498859999294,35.69498859999294,35.69498859999294,36.04893029999221,right,1.5,0,0,0.3476632999954745,35.995014899992384,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
42,0.5,2.0,36.06240219999745,,36.04911639999773,36.06240219999745,36.56230419999338,36.56230419999338,36.56230419999338,37.28062379999028,left,-2.0,1,1,0.7079510999901686,36.86288220000279,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
43,0.5,2.0,37.29516189999413,,37.28077179999673,37.29516189999413,37.79527000000235,37.79527000000235,37.79527000000235,38.48085259999789,left,-2.0,1,1,0.6771851999947103,38.094911799998954,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
44,0.5,2.0,38.49529469999834,,38.48100020000129,38.49529469999834,38.99569789999805,38.99569789999805,38.99569789999805,39.448099899993395,right,2.0,1,1,0.4364272999955574,39.295553899995866,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
45,0.5,1.5,39.46172120000119,,39.448254799994174,39.46172120000119,39.96214370000234,39.96214370000234,39.96214370000234,40.4153798000043,left,-1.5,1,1,0.44728789999498986,40.26213540000026,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
46,0.5,1.5,40.4293192000041,,40.41555229999358,40.4293192000041,40.92793910000182,40.92793910000182,40.92793910000182,41.397368999998434,left,-1.5,0,0,0.4554902000090806,41.228788699998404,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
47,0.5,2.0,41.41223970000283,,41.3975145000004,41.41223970000283,41.91214800000307,41.91214800000307,41.91214800000307,42.51436430000467,left,-2.0,1,1,0.5922876999975415,42.21205139999802,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
48,0.5,2.0,42.52894170000218,,42.514529899999616,42.52894170000218,43.029240999996546,43.029240999996546,43.029240999996546,43.38088450000214,right,2.0,1,1,0.34155440000176895,43.3287466000038,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
49,0.5,2.0,43.395077900000615,,43.381027199997334,43.395077900000615,43.895209099995554,43.895209099995554,43.895209099995554,44.24783269999898,left,-2.0,1,1,0.34102389999316074,44.195375199997216,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
50,0.5,1.5,44.26260669999465,,44.24801949999528,44.26260669999465,44.76237630000105,44.76237630000105,44.76237630000105,45.148452800000086,left,-1.5,1,1,0.37549800000851974,45.06246370000008,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
51,0.5,1.5,45.16233269999793,,45.1485995999974,45.16233269999793,45.662155700003495,45.662155700003495,45.662155700003495,46.06445839999651,left,-1.5,0,0,0.39714359999925364,45.96027110000432,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
52,0.5,2.0,46.07842740000342,,46.06464319999213,46.07842740000342,46.5786700000026,46.5786700000026,46.5786700000026,47.198032100001,left,-2.0,1,1,0.6124856999958865,46.87905219999084,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
53,0.5,2.0,47.21268159999454,,47.198224499996286,47.21268159999454,47.71253589999105,47.71253589999105,47.71253589999105,48.16377349999675,left,-2.0,1,1,0.4391743000014685,48.01222330000019,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
54,0.5,2.0,48.17905900000187,,48.163915299999644,48.17905900000187,48.67902049999975,48.67902049999975,48.67902049999975,49.13057110000227,right,2.0,1,1,0.4400718999968376,48.97920200000226,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
55,0.5,1.5,49.145347600002424,,49.13076949999959,49.145347600002424,49.64531900000293,49.64531900000293,49.64531900000293,50.06458379999094,left,-1.5,1,1,0.40922229998977855,49.94582850000006,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
56,0.5,1.5,50.078754799993476,,50.064729999998235,50.078754799993476,50.57905400000163,50.57905400000163,50.57905400000163,51.04762719999417,left,-1.5,1,1,0.45312469999771565,50.87914340000134,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
57,0.5,1.5,51.06383139999525,,51.04779559999588,51.06383139999525,51.56225149999955,51.56225149999955,51.57895759999519,51.91463050000311,left,-1.5,1,1,0.3426597000070615,51.86251059999631,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
58,0.5,1.0,51.92933869999251,,51.914777300000424,51.92933869999251,52.430031700001564,52.430031700001564,52.430031700001564,52.765749899990624,left,-1.0,1,1,0.33165310000185855,52.728784299994004,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
59,0.5,1.0,52.77894259999448,,52.76591429999098,52.77894259999448,53.2786277999985,53.2786277999985,53.2786277999985,53.59767029999057,left,-1.0,1,1,0.3044590999925276,53.57861640000192,174634,001,2024-09-11_22h51.24.187,adaptive staircase procedure,2024.1.5,None,2024-09-11 22h51.27.226016 +0530,
